arm,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
ARCH_B_MODIFIED_MLP_GRADBAL,wings |x|>.15,9.291982341773553e-06,5.1791857011889316e-06,1.9826230506056472e-05,7.752496309393342e-05,9.291982341773553e-06,0.14018393819320427,2098,2390
ARCH_B_MODIFIED_MLP_GRADBAL,fast-heavy,1.1281467309794543e-05,6.977810263160576e-06,2.4242948694026728e-05,0.00011933520727122615,1.1281467309794543e-05,0.12502013185296787,2419,2640
ARCH_B_MODIFIED_MLP_GRADBAL,slow-heavy,1.2204489777820682e-05,8.025237025179801e-06,2.740035946308811e-05,7.752496309393342e-05,1.2204489777820682e-05,0.06529100204806793,1372,1456
ARCH_B_MODIFIED_MLP_GRADBAL,low slow variance,1.0394661438536486e-05,6.238221356767687e-06,2.1946980779974264e-05,0.00011933520727122615,1.0394661438536486e-05,0.1352612537978499,1836,2048
ARCH_B_MODIFIED_MLP_GRADBAL,high slow variance,1.2724219936888074e-05,8.46205413317651e-06,2.767564902433348e-05,7.752496309393342e-05,1.2724219936888074e-05,0.07175917375988443,1955,2048
ARCH_B_MODIFIED_MLP_GRADBAL,low fast variance,1.0299172682690002e-05,6.390106131863014e-06,2.3084931673703035e-05,5.0577783448746416e-05,1.0299172682690002e-05,0.10148237432923851,1821,2048
ARCH_B_MODIFIED_MLP_GRADBAL,high fast variance,1.2801632766027521e-05,8.310169358081182e-06,2.7455753166541474e-05,0.00011933520727122615,1.2801632766027521e-05,0.11243472504577467,1970,2048
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,7–30d,9.769192609580387e-06,4.15076641778479e-06,2.3500054373650454e-05,0.00012130511240812658,9.769192609580387e-06,0.20400950895968942,1001,1283
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,30–90d,1.206277828582281e-05,7.456230251428697e-06,2.7019399059197223e-05,8.002040744381489e-05,1.206277828582281e-05,0.04665051077965439,946,968
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,90–365d,1.2135474610738805e-05,9.323166052194883e-06,2.462145418093523e-05,4.882830555663631e-05,1.2135474610738805e-05,0.012794179164564537,1234,1234
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,365–730d,1.562775793270259e-05,1.1925415037180383e-05,3.0563526578875067e-05,6.897283724016656e-05,1.562775793270259e-05,0.0044160794956849955,611,611
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,ATM |x|≤.02,1.6102822366306433e-05,1.2484138611898299e-05,3.2350736986190215e-05,4.9031940568409343e-05,1.6102822366306433e-05,0.01719413922950713,227,227
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,wings |x|>.15,9.437137654180473e-06,5.303891952874659e-06,2.1116905326976755e-05,6.897283724016656e-05,9.437137654180473e-06,0.14055969286839476,2099,2390
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,fast-heavy,1.1926472055939147e-05,7.477511052992632e-06,2.5661392665698975e-05,0.00012130511240812658,1.1926472055939147e-05,0.12540478317903464,2420,2640
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,slow-heavy,1.225692275283172e-05,7.962672056061822e-06,2.6654687090767182e-05,6.811733096800943e-05,1.225692275283172e-05,0.06544516292107037,1372,1456
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,low slow variance,1.1095462656556217e-05,6.784615543615047e-06,2.463986817467234e-05,0.00012130511240812658,1.1095462656556217e-05,0.13589298815669992,1837,2048
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,high slow variance,1.2924920880192194e-05,8.51532571298972e-06,2.7442687240269293e-05,8.002040744381489e-05,1.2924920880192194e-05,0.0715572434311617,1955,2048
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,low fast variance,1.0366314931944627e-05,6.466224510230249e-06,2.3580413891456564e-05,5.078933311100653e-05,1.0366314931944627e-05,0.10146061825250287,1821,2048
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,high fast variance,1.351674465446483e-05,8.83371674637452e-06,2.8307732114163024e-05,0.00012130511240812658,1.351674465446483e-05,0.11304628207582795,1971,2048
